Occupation,Nominal Compensation,Real Compensation
Service occupations,15.518441196938074,2.6795565614267556
Sales and office,11.456859971711449,-1.3820246637998697
"Production, transportation, and material moving",11.408450704225343,-1.4304339312859753
"Natural resources, construction, and maintenance",8.333333333333352,-4.505551302177967
"Management, professional, and related",7.553956834532374,-5.284927800978944
