date,Nominal Compensation,Inflation,Real Compensation
2020 Q1,0,0,0
2020 Q2,0.49999999999999184,-0.8505466234626752,1.350546623462667
2020 Q3,1.000000000000004,0.3169410739649401,0.6830589260350639
2020 Q4,1.7142857142857182,0.8742624256625695,0.8400232886231487
2021 Q1,2.642857142857135,1.8972641759918856,0.7455929668652492
2021 Q2,3.4285714285714364,3.921743008349512,-0.4931715797780756
2021 Q3,4.714285714285711,5.624254047797663,-0.9099683335119524
2021 Q4,5.714285714285714,7.6542751600172085,-1.9399894457314941
2022 Q1,7.214285714285711,10.049442291977615,-2.8351565776919037
2022 Q2,8.642857142857139,12.838884635511318,-4.19602749265418
