date,White Men,White Women,Black Men,Black Women,Latino Men,Latino Women,Asian men,Asian women
2020-02-01,0,0,0,0,0,0,0,0
2020-03-01,-0.8317662375235065,-1.424589656240322,1.6034031413612566,-2.5626504318278354,-1.9917827795641303,-3.2104637336504163,-1.3489437515907354,-0.5908419497784343
2020-04-01,-11.013067168137326,-14.78363692671528,-13.82526178010471,-16.126291943933175,-15.309038942479457,-21.355529131985733,-11.83507253754136,-12.378138847858198
2020-05-01,-8.324895125126574,-12.365212984599792,-11.12565445026178,-15.036103638680448,-12.817077527688461,-19.25089179548157,-10.56248409264444,-15.214180206794683
2020-06-01,-6.504653069096871,-9.794757735296601,-9.734947643979057,-12.869885317853601,-10.119685602000715,-13.80499405469679,-9.28989564774752,-9.689807976366321
2020-07-01,-6.639664400405033,-9.6821419521946,-9.162303664921465,-13.846807305677475,-8.851375491246873,-13.234244946492272,-8.0173072028506,-9.30576070901034
2020-08-01,-4.780847678287285,-7.702919564176919,-5.7755235602094235,-12.275237151352117,-6.529117541979278,-10.546967895362663,-5.803003308729957,-6.20384047267356
2020-09-01,-4.238391436424129,-6.889270531264957,-7.084424083769633,-10.618717258955119,-4.715969989281887,-11.771700356718192,-6.642911682361924,-7.0014771048744455
2020-10-01,-3.5994985293408552,-4.898786564937076,-4.630235602094241,-8.579923545235737,-3.5816362986780996,-8.299643281807372,-5.497582081954696,-6.115214180206794
2020-11-01,-4.34688268479676,-5.13527970945128,-4.466623036649215,-6.640237859266601,-4.385494819578421,-8.014268727705113,-2.825146347671163,-6.144756277695716
2020-12-01,-4.679589179806162,-4.949463667332977,-3.926701570680628,-7.333994053518335,-5.475169703465523,-8.489892984542212,-2.112496818528888,-4.844903988183161
2021-01-01,-4.85076426057187,-5.602635209324587,-3.4195026178010473,-8.395865779413846,-6.127188281529118,-9.95243757431629,-3.7159582590990072,-5.5243722304283605
2021-02-01,-4.339649934905251,-5.18314141726963,-4.401178010471204,-8.254282882627779,-5.278670953912112,-9.833531510107015,-0.941715449223721,-3.663220088626293
2021-03-01,-3.821302859347124,-4.54123145358822,-4.728403141361256,-7.659634716126291,-4.171132547338336,-7.122473246135554,-2.6724357342835328,-1.2703101920236337
2021-04-01,-3.194464535416365,-4.921309721557476,-4.3684554973821985,-4.289961772617868,-2.759914255091104,-7.074910820451843,-2.570628658691779,-4.0768094534711965
2021-05-01,-3.2209846183518973,-4.727047495706524,-2.650523560209424,-5.493416395299447,-1.7595569846373706,-6.932223543400713,-2.697887503181471,-1.329394387001477
2021-06-01,-3.5102946140122473,-5.861651510459191,-0.7853403141361256,-6.6543961489452075,-2.286530903894248,-7.348394768133175,-3.894120641384576,-0.7385524372230428
2021-07-01,-2.5242297121365542,-5.535065739463386,-0.4417539267015707,-6.824295625088489,-0.7681314755269739,-6.539833531510107,-1.6543649783659964,0.29542097488921715
2021-08-01,-2.386807464197888,-5.202849179312481,-0.08180628272251309,-5.507574684978055,-0.6788138620936048,-6.076099881093936,-1.068974293713413,0
2021-09-01,-1.9962389700564156,-4.127368450688364,-1.0143979057591623,-3.3555146538298173,0.1607717041800643,-5.73127229488704,-0.4072283023670145,1.0044313146233381
2021-10-01,-1.311538646993587,-2.9589797010050956,0.4744764397905759,-4.615602435225825,0.3394069310468024,-4.3638525564803805,0.6617459913463986,-1.03397341211226
2021-11-01,-1.0535705675297748,-2.179115403023734,1.37434554973822,-3.114823729293501,1.9381922115041088,-1.9619500594530321,0.6108424535505218,2.3929098966026587
2021-12-01,-1.3838661459086745,-1.863791210338129,0.40903141361256545,-3.1997734673651426,0.30367988567345483,-1.3079667063020213,0.07635530669381523,3.663220088626293
2022-01-01,-1.0415159843772603,-2.3508544722542863,2.568717277486911,-0.8494973807164096,0.6341550553769203,-1.498216409036861,3.1051158055484853,2.274741506646972
2022-02-01,0.09161483195911085,-1.9116529181564794,4.106675392670158,-2.265326348577092,3.2868881743479816,-0.9750297265160524,2.825146347671163,-0.2363367799113737
2022-03-01,0.525579825449636,-0.8474337678425632,4.3684554973821985,-0.14158289678606825,3.1171847088245803,0.6777645659928656,3.2832781878340542,3.2496307237813884
2022-04-01,0.3809248276194609,-1.3964357104648215,6.789921465968586,1.2176129123601869,3.510182207931404,0.2497027348394768,2.9778569610587935,4.283604135893649
2022-05-01,0.6075509908867351,-1.5231284664545734,6.8390052356020945,0.19821605550049554,4.528403001071812,0.5469678953626634,2.646983965385594,6.3515509601181686
2022-06-01,0.11572399826414004,-2.4099777583828375,7.673429319371728,-2.0529520033979893,4.59092533047517,1.8668252080856123,2.697887503181471,5.5243722304283605
2022-07-01,0.262789912724818,-2.846363917903094,6.070026178010472,-0.9061305394308368,3.2332976062879597,1.3674197384066586,4.403156019343344,2.570162481536189
